instance,best c_max,avg c_max,avg time
in06_244.dat,14546,14578.2,38.49
in06_245.dat,12805,12835.4,38.12
in06_246.dat,12935,12951,39.44
in06_247.dat,12952,12963.2,36.21
in06_248.dat,14062,14085.8,41.1
in06_249.dat,12942,12955.7,39.92
in06_250.dat,13497,13514.2,40
in06_251.dat,13673,13689.4,37.2
in06_252.dat,13400,13407.9,38.76
in06_253.dat,14298,14329.5,40.03
in06_254.dat,14121,14136.8,37.55
in06_255.dat,13029,13037.6,35.74
in06_256.dat,14102,14122.3,40.8
in06_257.dat,13464,13480.4,37.8
in06_258.dat,12731,12752.7,42.12
in06_259.dat,13043,13057.7,39.44
in06_260.dat,13391,13421.3,39.7
in06_261.dat,14061,14081.4,42.67
in06_262.dat,13624,13636.7,37.99
in06_263.dat,13243,13257.6,38.63
in06_264.dat,13084,13098.4,39.98
in06_265.dat,13541,13561.2,38.67
in06_266.dat,11908,11921.2,38.82
in06_267.dat,13287,13307.5,41.76
in06_268.dat,13645,13657.1,40.68
in06_269.dat,13137,13155.5,40.25
in06_270.dat,12420,12443.5,38.5
in06_271.dat,14404,14414.4,38.12
in06_272.dat,12715,12725.2,40.85
in06_273.dat,13101,13116.1,39.08
in06_274.dat,13637,13655.3,40.59
in06_275.dat,13348,13358.2,39.82
in06_276.dat,13564,13585.9,38.91
in06_277.dat,13593,13628.8,38.43
in06_278.dat,12952,12974,38.19
in06_279.dat,13305,13311.4,40.46
in06_280.dat,13169,13180.8,39.19
in06_281.dat,11941,11953,36.58
in06_282.dat,12705,12715.1,41.24
in06_283.dat,13849,13861.8,38.95
in06_284.dat,13698,13708.2,39.86
in06_285.dat,13255,13264.5,40.14
in06_286.dat,13492,13516.9,39.81
in06_287.dat,12732,12753.7,40.67
in06_288.dat,12794,12805,40.24
in06_289.dat,12206,12219.6,41.36
in06_290.dat,13025,13038.8,37.51
in06_291.dat,13099,13114.4,41.42
in06_292.dat,12623,12648.4,36.97
in06_293.dat,14051,14063.7,39.83
in06_294.dat,13673,13699,40.16
in06_295.dat,13065,13076.1,36.53
in06_296.dat,11877,11892.3,39.76
in06_297.dat,13550,13572.9,36.13
in06_298.dat,13613,13630.3,38.98
in06_299.dat,14071,14078.9,39.7
in06_300.dat,12664,12687.6,36.64
in06_301.dat,15358,15382.7,61.95
in06_302.dat,16302,16322.2,60.77
in06_303.dat,16621,16633,66.85
in06_304.dat,16524,16538.9,59.91
in06_305.dat,16362,16386.1,63.54
in06_306.dat,14919,14945,58.7
in06_307.dat,14918,14950.4,62.91
in06_308.dat,14628,14649.7,59.27
in06_309.dat,16242,16255,60.23
in06_310.dat,16056,16074.7,59.17
in06_311.dat,15546,15558.6,58.02
in06_312.dat,16148,16161.7,63.43
in06_313.dat,15371,15404.6,59.58
in06_314.dat,16507,16523,63.03
in06_315.dat,17395,17427.3,64.77
in06_316.dat,17010,17047.9,60.5
in06_317.dat,17316,17339.1,58.36
in06_318.dat,15804,15840.4,59.88
in06_319.dat,15018,15031.3,62.54
in06_320.dat,15827,15842.8,63.9
in06_321.dat,16859,16880.7,60.06
in06_322.dat,15848,15862.4,63.31
in06_323.dat,15262,15277.2,61.11
in06_324.dat,15899,15922.6,59.11
in06_325.dat,16394,16412.8,56.41
in06_326.dat,16117,16131.9,59.25
in06_327.dat,15293,15306.8,61.97
in06_328.dat,16089,16111.2,61.29
in06_329.dat,15789,15805.6,58.85
in06_330.dat,15253,15278.3,58.4
in06_331.dat,16254,16268.6,58.92
in06_332.dat,15147,15165.2,58.58
in06_333.dat,15858,15877.3,62.13
in06_334.dat,16413,16434.3,58.16
in06_335.dat,15941,15959.1,58.86
in06_336.dat,14707,14721,59.75
in06_337.dat,15474,15487.3,61.3
in06_338.dat,15942,15962.1,60.27
in06_339.dat,15969,15978.6,59.43
in06_340.dat,13931,13950.8,59.27
in06_341.dat,16397,16419.9,56.16
in06_342.dat,15212,15229.6,61.82
in06_343.dat,15872,15888.9,61.24
in06_344.dat,15485,15500.9,61.41
in06_345.dat,15755,15767.6,59.18
in06_346.dat,15719,15734.1,59.11
in06_347.dat,16274,16280.5,57.96
in06_348.dat,16775,16797.8,62.34
in06_349.dat,14184,14201.3,55
in06_350.dat,15770,15784.1,60.71
in06_351.dat,16108,16128,61.47
in06_352.dat,16167,16176.6,56.02
in06_353.dat,15775,15799.6,56.36
in06_354.dat,16283,16290.3,57.74
in06_355.dat,14680,14701.9,54.95
in06_356.dat,15801,15815.7,54.38
in06_357.dat,15521,15534,59.34
in06_358.dat,14043,14055.5,56
in06_359.dat,15696,15711.9,58.68
in06_360.dat,16200,16227.5,57.4
in10_001.dat,3554,3554,0.64
in10_002.dat,3297,3297,0.61
in10_003.dat,3182,3182,0.62
in10_004.dat,3460,3460,0.62
in10_005.dat,3288,3288,0.64
in10_006.dat,3699,3699.2,0.65
in10_007.dat,3490,3490,0.63
in10_008.dat,3466,3466,0.59
in10_009.dat,3622,3622,0.6
in10_010.dat,3391,3391,0.61
in10_011.dat,3521,3521,0.6
in10_012.dat,3392,3396.5,0.66
in10_013.dat,3191,3191,0.62
in10_014.dat,3462,3465.9,0.63
in10_015.dat,3513,3513,0.63
in10_016.dat,2896,2896,0.64
in10_017.dat,2692,2692,0.62
in10_018.dat,3485,3485,0.63
in10_019.dat,3360,3363.6,0.67
in10_020.dat,3259,3259,0.62
in10_021.dat,2749,2749,0.67
in10_022.dat,3261,3261,0.64
in10_023.dat,3104,3105.8,0.64
in10_024.dat,3153,3153,0.63
in10_025.dat,3580,3580.8,0.61
in10_026.dat,3298,3298,0.63
in10_027.dat,3136,3136,0.64
in10_028.dat,2618,2618,0.63
in10_029.dat,2904,2904,0.61
in10_030.dat,2786,2788,0.7
in10_031.dat,2621,2621,0.64
in10_032.dat,2820,2820,0.64
in10_033.dat,3106,3108.2,0.66
in10_034.dat,3368,3368,0.61
in10_035.dat,3058,3058,0.65
in10_036.dat,2496,2496,0.62
in10_037.dat,3224,3224,0.64
in10_038.dat,3295,3295,0.63
in10_039.dat,3179,3179,0.64
in10_040.dat,3214,3214,0.61
in10_041.dat,3289,3289,0.65
in10_042.dat,2879,2879,0.64
in10_043.dat,3500,3500,0.68
in10_044.dat,2889,2889,0.62
in10_045.dat,2905,2905,0.64
in10_046.dat,3313,3314.6,0.62
in10_047.dat,3199,3199,0.65
in10_048.dat,3050,3050,0.64
in10_049.dat,3247,3248.4,0.64
in10_050.dat,2667,2668.6,0.67
in10_051.dat,2830,2830,0.66
in10_052.dat,3166,3166,0.63
in10_053.dat,2940,2940,0.64
in10_054.dat,2968,2968,0.64
in10_055.dat,3170,3170,0.64
in10_056.dat,3205,3205,0.65
in10_057.dat,3089,3089,0.62
in10_058.dat,3306,3306,0.64
in10_059.dat,3095,3095.4,0.66
in10_060.dat,2555,2555.5,0.66
in10_061.dat,6685,6686.5,3.51
in10_062.dat,6840,6840.6,3.19
in10_063.dat,5942,5961.9,3.43
in10_064.dat,5601,5623.3,3.57
in10_065.dat,5384,5394.6,3.42
in10_066.dat,5888,5892.6,3.42
in10_067.dat,6655,6656,3.36
in10_068.dat,6870,6871.3,3.28
in10_069.dat,6521,6527.6,3.44
in10_070.dat,6589,6594.4,3.64
in10_071.dat,6703,6716.7,3.54
in10_072.dat,5746,5751.7,3.58
in10_073.dat,5497,5516,3.76
in10_074.dat,6303,6303,3.08
in10_075.dat,5841,5860.1,3.36
in10_076.dat,6259,6259,3.21
in10_077.dat,5488,5531.1,3.77
in10_078.dat,5969,5969,3.08
in10_079.dat,6182,6202.1,3.29
in10_080.dat,6403,6412.8,3.14
in10_081.dat,5154,5156.6,3.68
in10_082.dat,5729,5735.6,3.73
in10_083.dat,5281,5287.9,3.86
in10_084.dat,5476,5476,3.54
in10_085.dat,4724,4725.5,3.71
in10_086.dat,5089,5098.7,3.75
in10_087.dat,5818,5826.7,3.85
in10_088.dat,5628,5634.3,3.92
in10_089.dat,4878,4883.8,3.45
in10_090.dat,6328,6329.2,3.64
in10_091.dat,5348,5351.1,3.7
in10_092.dat,5295,5296.9,3.49
in10_093.dat,5513,5520.1,3.86
in10_094.dat,4879,4882.1,3.63
in10_095.dat,6129,6134.2,3.77
in10_096.dat,5375,5385.8,3.81
in10_097.dat,5678,5679.8,3.87
in10_098.dat,5845,5848,3.59
in10_099.dat,4690,4692.8,3.82
in10_100.dat,5616,5617.8,3.35
in10_101.dat,5833,5835.5,3.64
in10_102.dat,5101,5106.4,3.82
in10_103.dat,5329,5330.5,3.52
in10_104.dat,6199,6199,3.83
in10_105.dat,5599,5601.8,3.69
in10_106.dat,5190,5190,3.78
in10_107.dat,5530,5534,3.61
in10_108.dat,5524,5535.7,4.03
in10_109.dat,5891,5891.4,3.69
in10_110.dat,5547,5550.7,3.81
in10_111.dat,5182,5183.5,3.46
in10_112.dat,5729,5731.6,3.52
in10_113.dat,5612,5616.2,3.9
in10_114.dat,6005,6009.1,3.93
in10_115.dat,5229,5230.6,3.72
in10_116.dat,5358,5364.1,3.65
in10_117.dat,6270,6277.3,3.5
in10_118.dat,5966,5974.1,3.8
in10_119.dat,5724,5733.5,4.03
in10_120.dat,6001,6004.5,3.93
in10_121.dat,8423,8445.1,8.59
in10_122.dat,8604,8629.9,9.02
in10_123.dat,9307,9322.6,8.84
in10_124.dat,8628,8659.7,9.45
in10_125.dat,9597,9615.6,9.84
in10_126.dat,8575,8589.6,8.81
in10_127.dat,8642,8657.8,8.7
in10_128.dat,9094,9103.6,8.79
in10_129.dat,8786,8815.2,8.77
in10_130.dat,8555,8555,8.4
in10_131.dat,8062,8078.1,8.83
in10_132.dat,9794,9794.5,9.24
in10_133.dat,9093,9120,8.92
in10_134.dat,8719,8732.7,8.81
in10_135.dat,8700,8721.3,9.06
in10_136.dat,9178,9181.6,8.94
in10_137.dat,9606,9616.7,9.03
in10_138.dat,9231,9237.1,9.88
in10_139.dat,9041,9053.9,10.17
in10_140.dat,8546,8561.8,9.25
in10_141.dat,8528,8545.5,11.13
in10_142.dat,7760,7766.9,10.33
in10_143.dat,7938,7942.3,10.38
in10_144.dat,8041,8049.4,10.87
in10_145.dat,8542,8551.2,10.58
in10_146.dat,8621,8630.2,11.47
in10_147.dat,8245,8251.5,9.55
in10_148.dat,8088,8096.4,10.61
in10_149.dat,8622,8629.3,11.38
in10_150.dat,7726,7739.1,10.69
in10_151.dat,8627,8631.9,9.45
in10_152.dat,7432,7439.8,10.48
in10_153.dat,8792,8798.6,11.08
in10_154.dat,7667,7679.3,10.24
in10_155.dat,8407,8416.1,11.12
in10_156.dat,7976,7982.7,10.54
in10_157.dat,8233,8238.3,9.93
in10_158.dat,8074,8083.3,10.93
in10_159.dat,8484,8523.3,11.17
in10_160.dat,7844,7854.8,9.43
in10_161.dat,7397,7407.2,10.32
in10_162.dat,7461,7473.9,11.5
in10_163.dat,8315,8323.7,11.7
in10_164.dat,8161,8170.1,10.92
in10_165.dat,7781,7792.3,11.32
in10_166.dat,7812,7819.4,10.7
in10_167.dat,8250,8269.7,11.23
in10_168.dat,8653,8665,10.93
in10_169.dat,7552,7560.1,10.73
in10_170.dat,8745,8755.9,11.39
in10_171.dat,8312,8324.4,11.23
in10_172.dat,8474,8484.9,11.57
in10_173.dat,8085,8093.9,12.38
in10_174.dat,7453,7460.6,11.38
in10_175.dat,7874,7884.7,10.37
in10_176.dat,8324,8331.1,10.38
in10_177.dat,8785,8791.4,11.27
in10_178.dat,8692,8706,12.18
in10_179.dat,8364,8372.1,10.41
in10_180.dat,7641,7654.3,11.57
in10_181.dat,11217,11235.5,18.6
in10_182.dat,12117,12139.4,19.24
in10_183.dat,12092,12115.9,19.59
in10_184.dat,12263,12286.8,19.07
in10_185.dat,11562,11571.1,18.07
in10_186.dat,11482,11501.1,17.64
in10_187.dat,11744,11767.6,19.24
in10_188.dat,12345,12357.1,19.33
in10_189.dat,11645,11651.2,19.14
in10_190.dat,11632,11639.1,19.39
in10_191.dat,10938,10973.6,18.57
in10_192.dat,11643,11661.5,18.02
in10_193.dat,11780,11794,21.18
in10_194.dat,10953,10965.9,17.97
in10_195.dat,12222,12241,18.58
in10_196.dat,12219,12233.6,19.18
in10_197.dat,11282,11322.9,18.28
in10_198.dat,12420,12435.2,19.08
in10_199.dat,11986,12002.1,20.39
in10_200.dat,11826,11868.2,21.49
in10_201.dat,11720,11732,22.98
in10_202.dat,9954,9980.6,22.37
in10_203.dat,10210,10216.8,23.4
in10_204.dat,10345,10361.9,22.17
in10_205.dat,10226,10239.5,22.16
in10_206.dat,10621,10634.9,22.88
in10_207.dat,11242,11257.3,20.46
in10_208.dat,9722,9741.5,20.67
in10_209.dat,11025,11036.2,21.81
in10_210.dat,10779,10787.2,20.57
in10_211.dat,11447,11468.5,23.88
in10_212.dat,10268,10281.2,21.36
in10_213.dat,10437,10459,22.55
in10_214.dat,10701,10716.4,22.28
in10_215.dat,10983,10994.4,22.86
in10_216.dat,11064,11079,23.6
in10_217.dat,11178,11186.3,21.22
in10_218.dat,10516,10529.6,22.78
in10_219.dat,11299,11310.8,22.95
in10_220.dat,11499,11509.1,21.79
in10_221.dat,10695,10708.4,20.08
in10_222.dat,11310,11328.9,24.17
in10_223.dat,11158,11169.7,23.71
in10_224.dat,10712,10724.9,23.25
in10_225.dat,11087,11105.5,22.35
in10_226.dat,9733,9740.1,22.45
in10_227.dat,10916,10932.5,21.77
in10_228.dat,10743,10753.4,21.7
in10_229.dat,10570,10586,22.57
in10_230.dat,10983,10999.6,22.59
in10_231.dat,11138,11164.4,23.06
in10_232.dat,10620,10635.5,22.25
in10_233.dat,11023,11034.4,22.18
in10_234.dat,12072,12087.2,23.32
in10_235.dat,11633,11648.8,22.92
in10_236.dat,10665,10676.5,21.03
in10_237.dat,10604,10618.9,21.76
in10_238.dat,11356,11368.8,22.45
in10_239.dat,11925,11931.8,22.97
in10_240.dat,10944,10957.3,22.77
in10_241.dat,14574,14589.6,33.4
in10_242.dat,13963,13980.5,31.48
in10_243.dat,14619,14659,31.62
in10_244.dat,14921,14976.7,38.35
in10_245.dat,14806,14844.6,31.29
in10_246.dat,14192,14214.8,31.24
in10_247.dat,14120,14145.7,33.62
in10_248.dat,13677,13689.2,37.44
in10_249.dat,14669,14689.3,33.2
in10_250.dat,13943,13963.5,33.39
in10_251.dat,14730,14782,34.39
in10_252.dat,13695,13722.8,32.73
in10_253.dat,14357,14366.5,32.41
in10_254.dat,13822,13876.6,31.59
in10_255.dat,13966,14020.2,30.98
in10_256.dat,15698,15765.3,40.59
in10_257.dat,13990,14017.3,33.5
in10_258.dat,15017,15033.4,34.92
in10_259.dat,13922,13946.7,32.15
in10_260.dat,13334,13407.8,34.77
in10_261.dat,13614,13627.4,39.99
in10_262.dat,13036,13045.6,39.82
in10_263.dat,12517,12547.9,40.63
in10_264.dat,12949,12962.5,40.99
in10_265.dat,13734,13748.3,40.95
in10_266.dat,11993,12011.8,41.41
in10_267.dat,13081,13101.2,38.43
in10_268.dat,14769,14784.2,37.03
in10_269.dat,12960,12973.1,39.1
in10_270.dat,13292,13308.6,39.36
in10_271.dat,13073,13093.3,41.41
in10_272.dat,14352,14366.1,40.06
in10_273.dat,13083,13097.3,41.16
in10_274.dat,14044,14062,42.6
in10_275.dat,13654,13669.1,40.63
in10_276.dat,14413,14423.8,38.89
in10_277.dat,13845,13868.9,40.03
in10_278.dat,13440,13450.4,39.68
in10_279.dat,13628,13660.4,39.16
in10_280.dat,13514,13527.8,38.09
in10_281.dat,14377,14388,38.08
in10_282.dat,13536,13561.7,40.6
in10_283.dat,13451,13466.1,35.92
in10_284.dat,13434,13449.5,38.1
in10_285.dat,13575,13597.4,39.68
in10_286.dat,13133,13162.9,39.54
in10_287.dat,11275,11285.6,38.49
in10_288.dat,12650,12674.7,39.69
in10_289.dat,12809,12819.3,39.1
in10_290.dat,13884,13913.9,37.09
in10_291.dat,13461,13477.8,41.5
in10_292.dat,11917,11929.8,40.46
in10_293.dat,13646,13661.9,36.37
in10_294.dat,12018,12045.7,39.78
in10_295.dat,13121,13135.3,37.45
in10_296.dat,13470,13493.5,37.93
in10_297.dat,12892,12904.5,39.2
in10_298.dat,13633,13645.4,41.28
in10_299.dat,13696,13713.1,41.77
in10_300.dat,13180,13192.6,41.89
in10_301.dat,16665,16702.2,49.66
in10_302.dat,17950,17989.9,52.11
in10_303.dat,16538,16573.2,51.05
in10_304.dat,16338,16384.4,49.9
in10_305.dat,15930,15942.4,49.88
in10_306.dat,17927,17963.4,54.64
in10_307.dat,16441,16464.1,51.18
in10_308.dat,16186,16222.2,48.17
in10_309.dat,15547,15575,49.89
in10_310.dat,17681,17718.5,54.05
in10_311.dat,16689,16738.2,55.05
in10_312.dat,16433,16452.3,50.52
in10_313.dat,16957,17002.3,52.57
in10_314.dat,17152,17176.5,51.21
in10_315.dat,16688,16708.4,48.44
in10_316.dat,17248,17287.1,49.59
in10_317.dat,15979,16009.1,50.48
in10_318.dat,17702,17732.8,55.08
in10_319.dat,16334,16414.7,50.93
in10_320.dat,18183,18202.6,52.23
in10_321.dat,17534,17564.1,58.78
in10_322.dat,16096,16115.3,62.78
in10_323.dat,16166,16195.5,60.98
in10_324.dat,16252,16260.8,61.51
in10_325.dat,17352,17381.6,61.57
in10_326.dat,15692,15714.1,61.38
in10_327.dat,16718,16729.3,62.75
in10_328.dat,15723,15752.3,64.95
in10_329.dat,15442,15459.3,56.88
in10_330.dat,15927,15957.5,59.59
in10_331.dat,15136,15166,58.46
in10_332.dat,15855,15866.4,61.88
in10_333.dat,16586,16607.4,60.8
in10_334.dat,15520,15530.4,60.27
in10_335.dat,15796,15813.6,60.23
in10_336.dat,15259,15275.5,66.15
in10_337.dat,16767,16784.5,67.55
in10_338.dat,16393,16413.7,61.84
in10_339.dat,15491,15502.8,65.49
in10_340.dat,16500,16525.5,63.89
in10_341.dat,15147,15168.2,57.89
in10_342.dat,16251,16286.2,59.55
in10_343.dat,16394,16407.4,58.32
in10_344.dat,14496,14528.4,57.4
in10_345.dat,15996,16010.6,60.65
in10_346.dat,15475,15492.9,60.19
in10_347.dat,16909,16928.6,65.48
in10_348.dat,16441,16468,64.06
in10_349.dat,16023,16047.4,56.51
in10_350.dat,15334,15346.5,64.99
in10_351.dat,15062,15081.6,59.79
in10_352.dat,15999,16016.1,62.28
in10_353.dat,16774,16792.5,63.51
in10_354.dat,15232,15254.4,59.78
in10_355.dat,15832,15861.6,61.04
in10_356.dat,16262,16289.2,59.16
in10_357.dat,15376,15396.9,57.26
in10_358.dat,15815,15838.9,57.7
in10_359.dat,15474,15496.7,59.84
in10_360.dat,16323,16342.8,63.52
in14_001.dat,3764,3764,0.65
in14_002.dat,3542,3542,0.65
in14_003.dat,4350,4350,0.6
in14_004.dat,3972,3972.4,0.7
in14_005.dat,4139,4151.8,0.6
in14_006.dat,3655,3655,0.6
in14_007.dat,3872,3872,0.65
in14_008.dat,3927,3927,0.71
in14_009.dat,3718,3724.6,0.54
in14_010.dat,4155,4155,0.7
in14_011.dat,3665,3665,0.61
in14_012.dat,3170,3170,0.67
in14_013.dat,3977,3977,0.66
in14_014.dat,3931,3933.8,0.67
in14_015.dat,3759,3762.3,0.66
in14_016.dat,3681,3681,0.59
in14_017.dat,3696,3696,0.6
in14_018.dat,3559,3561.4,0.63
in14_019.dat,4162,4162,0.57
in14_020.dat,4414,4414,0.61
in14_021.dat,3099,3099,0.61
in14_022.dat,3106,3106,0.62
in14_023.dat,3014,3014,0.62
in14_024.dat,3586,3586,0.62
in14_025.dat,3139,3139,0.63
in14_026.dat,3250,3250,0.64
in14_027.dat,3224,3224,0.63
in14_028.dat,2835,2835,0.62
in14_029.dat,3374,3374,0.63
in14_030.dat,3758,3758,0.65
in14_031.dat,3093,3095.9,0.63
in14_032.dat,2809,2815,0.6
in14_033.dat,2830,2830,0.61
in14_034.dat,2846,2846,0.62
in14_035.dat,2985,2985,0.62
in14_036.dat,3503,3503,0.62
in14_037.dat,3225,3225,0.61
in14_038.dat,3370,3370,0.62
in14_039.dat,3153,3158,0.64
in14_040.dat,3220,3220,0.61
in14_041.dat,3334,3334,0.67
in14_042.dat,3461,3461,0.61
in14_043.dat,2888,2888,0.63
in14_044.dat,3035,3035,0.61
in14_045.dat,3730,3730,0.62
in14_046.dat,3001,3003.7,0.62
in14_047.dat,3036,3036.6,0.64
in14_048.dat,2634,2634.4,0.62
in14_049.dat,2680,2680,0.62
in14_050.dat,3093,3093,0.61
in14_051.dat,2539,2539,0.62
in14_052.dat,2772,2772,0.64
in14_053.dat,3272,3272,0.63
in14_054.dat,2567,2567,0.64
in14_055.dat,3247,3247,0.67
in14_056.dat,2882,2882,0.62
in14_057.dat,3205,3205,0.63
in14_058.dat,3371,3373.8,0.65
in14_059.dat,2986,2986,0.63
in14_060.dat,2994,2994,0.63
in14_061.dat,7772,7772,3.05
in14_062.dat,7282,7285.5,4.22
in14_063.dat,7271,7271,3.05
in14_064.dat,7475,7475,3.75
in14_065.dat,7290,7308.6,3.51
in14_066.dat,7331,7332,3.28
in14_067.dat,7661,7663.4,3.42
in14_068.dat,7797,7834.3,3.84
in14_069.dat,7561,7599.9,3.45
in14_070.dat,7318,7325.6,3.22
in14_071.dat,7445,7454,4.03
in14_072.dat,7665,7665,3.46
in14_073.dat,7361,7367,3.48
in14_074.dat,7096,7097.1,3.28
in14_075.dat,7603,7604.3,3.36
in14_076.dat,7574,7577.6,2.82
in14_077.dat,7803,7817.4,3.49
in14_078.dat,7642,7645.5,3.59
in14_079.dat,7489,7491.3,3.17
in14_080.dat,7628,7630.4,3.14
in14_081.dat,5160,5166.9,3.47
in14_082.dat,5893,5893,3.55
in14_083.dat,5294,5295.7,3.42
in14_084.dat,5615,5615,3.22
in14_085.dat,6196,6196.3,3.53
in14_086.dat,5331,5331,3.54
in14_087.dat,5691,5691.9,3.3
in14_088.dat,5269,5272.6,3.5
in14_089.dat,5719,5719,3.31
in14_090.dat,5617,5620.2,3.74
in14_091.dat,6183,6195,3.51
in14_092.dat,5812,5812,3.81
in14_093.dat,6107,6110.8,3.61
in14_094.dat,4837,4838.8,3.32
in14_095.dat,6168,6168.3,3.65
in14_096.dat,5667,5669.8,3.71
in14_097.dat,5157,5157.3,3.14
in14_098.dat,5661,5661.2,3.62
in14_099.dat,6323,6324.5,3.4
in14_100.dat,5680,5691,3.36
in14_101.dat,5489,5493.6,3.61
in14_102.dat,5518,5535.6,3.77
in14_103.dat,5399,5401,3.54
in14_104.dat,4862,4869.8,3.55
in14_105.dat,5425,5431.7,3.54
in14_106.dat,5712,5715.6,3.86
in14_107.dat,6014,6017.7,4.05
in14_108.dat,6232,6249.8,3.92
in14_109.dat,5373,5373,3.31
in14_110.dat,5036,5038.7,3.62
in14_111.dat,5216,5221.9,3.73
in14_112.dat,5311,5325.8,3.97
in14_113.dat,6232,6238.4,3.78
in14_114.dat,5177,5182.1,3.66
in14_115.dat,5607,5607,3.61
in14_116.dat,6045,6055.6,3.86
in14_117.dat,5736,5737.3,3.84
in14_118.dat,5284,5293.5,3.9
in14_119.dat,5890,5890,3.71
in14_120.dat,5996,6001.7,3.55
in14_121.dat,10693,10693,6.61
in14_122.dat,10654,10663.3,9.41
in14_123.dat,11036,11036,8.78
in14_124.dat,11265,11284.8,8.75
in14_125.dat,10857,10860.9,9.12
